Timestep,Alpha,Beta,K,C,AlignmentCost,PathCost,CollisionCost,ControlCost,TotalCost,Collisions
99,1.0,0.0,0.016931757,0.016931757,3.147471530687175e-11,0.325670791917933,0.0,0.008243527965000533,25.320663564282707,0
100,1.0,0.0,0.016931757,0.016931757,2.9096459564249942e-11,0.32974443763429395,0.0,0.00833658951952465,25.658744591465624,0
101,1.0,0.0,0.016931757,0.016931757,2.6764212049241485e-11,0.3336881531459259,0.0,0.008426352529037269,26.00085909716735,0
102,1.0,0.0,0.016931757,0.016931757,2.4501075741621185e-11,0.3375082933940144,0.0,0.00851298193210621,26.346880372517973,0
103,1.0,0.0,0.016931757,0.016931757,2.2320878493493653e-11,0.34121073740095675,0.0,0.008596630378731197,26.69668774031998,0
104,1.0,0.0,0.016931757,0.016931757,0.0003132983226267124,0.3450928019882847,0.0,0.018170764216109327,27.060264604847,0
105,1.0,0.0,0.016931757,0.016931757,0.00031279465689617605,0.349009092335866,0.0,0.018804660476299768,27.42839115231606,0
106,1.0,0.0,0.016931757,0.016931757,0.00029425548443569224,0.3527647954651984,0.0,0.018603985072605553,27.8000541883383,0
107,1.0,0.0,0.016931757,0.016931757,0.0002829573418285549,0.35637188020924604,0.0,0.018763411152417163,28.175472437041794,0
108,1.0,0.0,0.016931757,0.016931757,0.00027065410911446036,0.35983360680178667,0.0,0.018599045314188087,28.55417574326688,0
109,1.0,0.0,0.016931757,0.016931757,0.0002678056060198361,0.3631702471911253,0.0,0.018755426851011534,28.936369222915037,0
110,1.0,0.0,0.016931757,0.016931757,0.0011536277525331666,0.36670324244974617,0.0,0.027714925103039485,29.331941018220355,0
111,1.0,0.0,0.016931757,0.016931757,0.00271854023917438,0.37042532790943333,0.0,0.04008554490164358,29.74517043127061,0
112,1.0,0.0,0.016931757,0.016931757,0.002681154469778653,0.3739892955305255,0.0,0.03783310692284031,30.159673988193752,0
113,1.0,0.0,0.016931757,0.016931757,0.0011703772527975917,0.3772937366982883,0.0,0.028439706380076205,30.566577808524915,0
114,1.0,0.0,0.016931757,0.016931757,0.0011573595274659869,0.3804649198957619,0.0,0.028348107282120845,30.976548195230265,0
115,1.0,0.0,0.016931757,0.016931757,0.0026127028456987282,0.3838416856766043,0.0,0.03768941686880597,31.400692000621373,0
116,1.0,0.0,0.016931757,0.016931757,0.001187994009097703,0.38680954330208966,0.0,0.028540954936517267,31.817230492869076,0
117,1.0,0.0,0.016931757,0.016931757,0.0011801989114510849,0.3896146983726709,0.0,0.028940270421832746,32.23696566057503,0
118,1.0,0.0,0.016931757,0.016931757,0.001191512270948878,0.39233546741260333,0.0,0.028518130820210957,32.65901077107879,0
119,1.0,0.0,0.016931757,0.016931757,0.0012037274268099831,0.39498131985593915,0.0,0.02884168590996855,33.08403750427151,0
120,1.0,0.0,0.016931757,0.016931757,0.0012174750766224584,0.3975600584425717,0.0,0.029016360121849306,33.51183139791255,0
121,1.0,0.0,0.016931757,0.016931757,0.0012227162331378658,0.40007086436106293,0.0,0.029141554709742067,33.9422665332165,0
122,1.0,0.0,0.016931757,0.016931757,0.0012254937478102547,0.40251646062783036,0.0,0.029132909945665843,34.3751413975378,0
123,1.0,0.0,0.016931757,0.016931757,0.0012146888873871581,0.40485613843872753,0.0,0.029332882834204863,34.810545107698125,0
124,1.0,0.0,0.016931757,0.016931757,0.00030383870314380334,0.40687534161424604,0.0,0.020169728979113205,35.23789401699463,0
125,1.0,0.0,0.016931757,0.016931757,0.00030940298917921745,0.408877006299367,0.0,0.020152213455311103,35.66723263973849,0
126,1.0,0.0,0.016931757,0.016931757,0.00031632202435817624,0.4108422852412386,0.0,0.023597982919113802,36.1019892299232,0
127,1.0,0.0,0.016931757,0.016931757,7.286495039697468e-09,0.41255158202510495,0.0,0.010284442366753922,36.52482526160155,0
128,1.0,0.0,0.016931757,0.016931757,0.0003031205891293631,0.4145702747619428,0.0,0.01921902576458171,36.9589176827172,0
129,1.0,0.0,0.016931757,0.016931757,0.0003219151937908924,0.41671874402677966,0.0,0.022000555560963645,37.39795889749873,0
130,1.0,0.0,0.016931757,0.016931757,5.400692326749385e-09,0.4182570637964247,0.0,0.010493225194578603,37.82670919189043,0
131,1.0,0.0,0.016931757,0.016931757,1.2517286367324285e-09,0.4198044204214193,0.0,0.010408319274399691,38.256921932837976,0
132,1.0,0.0,0.016931757,0.016931757,1.0924790387244954e-09,0.42131778701233646,0.0,0.010435681770297984,38.68867540271309,0
133,1.0,0.0,0.016931757,0.016931757,1.0292358405515125e-09,0.42279796881883347,0.0,0.01046265319317108,39.12193602575433,0
134,1.0,0.0,0.016931757,0.016931757,9.680862584006608e-10,0.42424587285960486,0.0,0.010488885102389031,39.55667078468441,0
135,1.0,0.0,0.016931757,0.016931757,9.110004260703186e-10,0.42566237421943126,0.0,0.010514397989360918,39.9928475578042,0
136,1.0,0.0,0.016931757,0.016931757,8.588025816759182e-10,0.4270483151712304,0.0,0.010539217478831273,40.43043509131306,0
